用户id,用户名,种子id,标题,小标题,体积,发布组,分类,分辨率,多集,新合集,旧合集,双语,NF,发布时间,单种工资,备注,总魔力,更新时间
21368,shen8888,135782,Shugokyara 2007 WEB-DL 1080p H264 AAC-HDSWEB,守护甜心 全51集,8.99GB,HDSWEB,动漫,2K/1080p,,,51,,,2020-05-08 12:53:10,51000,,,2020-05-11 23:47:55.832132
21368,shen8888,135848,Shugokyara Doki 2008 WEB-DL 1080p H264 AAC-HDSWEB,守护甜心心跳 全51集,10.57GB,HDSWEB,动漫,4k/2160p,,,51,,,2020-05-08 22:43:53,76500,,,2020-05-11 23:47:55.832132
21368,shen8888,135902,Shugokyara Party 2009 WEB-DL 4k H265 AAC-HDSWEB,守护甜心派对 全25集,16.02GB,HDSWEB,动漫,4k/2160p,,,25,,,2020-05-09 12:03:46,37500,,,2020-05-11 23:47:55.832132
21368,shen8888,135974,Kureyon Shin Chan 2014 WEB-DL 4k H265 AAC-HDSWEB,蜡笔小新第6季 全156集,22.6GB,HDSWEB,动漫,4k/2160p,,,156,,,2020-05-09 22:42:54,234000,,,2020-05-11 23:47:55.832132
21368,shen8888,136021,Kung Fu Chicken 2014 WEB-DL 4k H265 AAC-HDSWEB,功夫鸡 全104集,13.88GB,HDSWEB,动漫,4k/2160p,,,104,,,2020-05-10 13:24:03,156000,,,2020-05-11 23:47:55.832132
21368,shen8888,136055,Pri Para 2014 WEB-DL 1080p H264 AAC-HDSWEB,美妙天堂第一季 全38集,13.66GB,HDSWEB,动漫,2K/1080p,,,38,,,2020-05-10 18:17:07,38000,,,2020-05-11 23:47:55.832132
21368,shen8888,136080,Beryl And Sapphire 2018 WEB-DL 4k H265 AAC-HDSWEB,小绿和小蓝 全86集,23.86GB,HDSWEB,动漫,4k/2160p,,,86,,,2020-05-10 23:01:36,129000,,,2020-05-11 23:47:55.832132
21368,shen8888,136137,The New Tom Jerry Show 2014 WEB-DL 4k H265 AAC-HDSWEB,猫和老鼠 全157集,28.24GB,HDSWEB合集专用,动漫,4k/2160p,,,157,,,2020-05-11 11:39:37,235500,,,2020-05-11 23:47:55.832132
21368,shen8888,,,,,,,,,,,,,,,,2669000,
90463,DSD1024,135388,Candle in the Tomb The Lost Caverns 2020 WEB-DL 4k H265 AAC-HDSWEB,龙岭迷窟 / 鬼吹灯之龙岭迷窟 全18集 | 主演：潘粤明 张雨绮 [无广告/内封简繁软字幕],21.44GB,HDSWEB,剧集（合集）,4k/2160p,,,18,,,2020-05-05 11:09:45,27000,,,2020-05-11 23:47:57.134285
90463,DSD1024,135415,Xiao Bai Cai Evaluated 2012 WEB-DL 4k 50fps H265 AAC-HDSWEB,小白菜奇案 / 杨乃武与小白菜冤案 全33集 | 主演：李保田 陈瑾,86.55GB,HDSWEB,剧集（合集）,4k/2160p,,,33,,,2020-05-05 15:35:52,49500,,,2020-05-11 23:47:57.134285
90463,DSD1024,135436,Natsume's Book of Friends The Movie Tied to the Temporal World 2018 WEB-DL 4k 50fps H265 AAC-HDSWEB,夏目友人帐 | 主演: 神谷浩史 井上和彦 [日语中字],14.64GB,HDSWEB,电影,4k/2160p,,,,,,2020-05-05 20:45:36,3000,,,2020-05-11 23:47:57.134285
